item_id	title	year	latitude	longitude	author
60330579	De humanae ratiocinationis imbecillitate ..	1700	51.339620	12.371292	Feder, Johann Georg Heinrich
60330583	Disputatio philosophica de usu et abusu terminorum technicorum  in philosophia	1700	51.339620	12.371292	Sigwart, Christoph
60330584	Praecepta logicae peripateticae	1700	51.339620	12.371292	Zigliara, Thomas Maria
60330585	Curieuse Fragen über die Logica	1700	51.339620	12.371292	Rey y Heredia, José Maria
60330586	An abridgment of Locke's Essay ..	1700	51.508529	-0.125742	Facciolatus, Jacobus
60330580	De la Recherche de la Vérité	1700	48.853410	2.348800	Snell, Friedrich Wilhelm Daniel
60330581	Exercitationes scholasticae in varias partes philosophicae	1700	48.853410	2.348800	González y Díaz Tunón, Zeferino
60330582	Institutio philosophica	1700	48.853410	2.348800	Laplace, Pierre Simon
60330599	Manuale logicum	1701	51.339620	12.371292	Valla, Josephus
60330602	Praxis logica seu usus manualis logici Scharfiani  practicus	1701	51.339620	12.371292	Fichte, Johann Gottlieb
60330593	De intellectu humano	1701	51.508529	-0.125742	Nielsen, Rasmus
60330587	Philosophia Scoti .. vindicata	1701	45.438611	12.326667	Hume, David
60330588	Structurae logicae ad categorias Porphyrianas ..	1701	50.809044	8.770694	Read, Carveth
60330589	De iudicio contradictionis	1701	50.809044	8.770694	Malebranche, Nicolas,
60330590	Logica contracta	1701	53.185465	5.541229	Read, Carveth
60330591	Cursus philosophicus iuxta mentem J. Bacconii Carmelitae	1701	41.894738	12.483902	Rumpel, Theodor
60330592	Philosophia vindicata ab erroribus philosophorum  gentilium iuxta doctrinam .. P. Augustini	1701	41.894738	12.483902	Helvétius, Claude Adrien
60330601	Magistri Fr; Henrici Gandavensis philosophica tripartitio doctrinarum  et rationum	1701	41.894738	12.483902	Zigliara, Thomas Maria
60330594	Organum Aristotelicum ..	1701	47.799406	13.043990	Baumeister, Fridericus Christianus
60330595	Philosophia aulica	1701	50.088043	14.420757	Abercrombie, John
60330596	Paradoxa logica	1701	51.812222	12.805278	Bossuet, Jacques Bénigne
60330597	Problema de analysi logica	1701	54.088698	12.140493	Abercrombie, John
60330598	Logica demonstrativa	1701	45.184464	9.161452	Du Trieu, Philippus
60330600	Philosophiae rationalis fundamenta	1701	51.500000	12.000000	Duncan, William
60330620	Ars cogitandi	1702	51.339620	12.371292	Dittes, Friedrich
60330605	Logic or the art of thinking	1702	51.508529	-0.125742	Genuensis, Antonius
60330607	Logica contracta	1702	50.809044	8.770694	Ubaghs, Gerardus Casimir
60330614	Philosophia mentis et sensuum	1702	41.894738	12.483902	Zigliara, Thomas Maria
60330618	Philosophia aristotelica	1702	50.088043	14.420757	Krause, Karl Christian Friedrich
60330610	De logices usu	1702	54.088698	12.140493	Borelius, Johan Jakob
60330603	Dialectica nova ..	1702	49.755653	6.639347	Destutt de Tracy, Antoine Louis
60330604	Logica sive ars cogitandi	1702	52.158333	4.493056	Russell, Bertrand
60330611	Compendium logicae	1702	49.454205	11.077523	Jacques, Amédée
60330612	Medulla logices Scharfio-Mitternachtiana	1702	51.149871	11.809792	Jacques, Amédée
60330613	Élemens de la philosophie moderne	1702	52.374027	4.889688	Rumpel, Theodor
60330617	Discussio censurae Huetianae	1702	52.374027	4.889688	Storchenau, Sigmund von
60330615	Compendium logices	1702	48.782324	9.177017	Bosanquet, Bernard
60330616	Logica positiva sive dialectica et analytica	1702	52.227905	11.009846	Janet, Paul Alexandre
60330621	Institutio logicae	1702	51.752221	-1.255960	González y Díaz Tunón, Zeferino
60330622	Memoriale philosophiae in via thomistica	1702	54.352054	18.646374	Ernesti, Johann August
60330608	Philosophia ad usum scholae accommodata	1702	48.853410	2.348800	Volkmer, Franz
60330609	Voyage du monde de Descartes	1702	48.853410	2.348800	Schulze, Gottlob Ernst
60330606	Introductio ad historiam philosophiae Ebraeorum	1702	51.500000	12.000000	Jacquier, Franciscus
60330619	Introductio ad philosophiam aulicam	1702	51.500000	12.000000	Dittes, Friedrich
60330626	Pharus intellectus sive logica electiva	1703	51.339620	12.371292	Mercier, Désiré Joseph
60330625	Phosphorus philosophicus auctior seu logica contracta Claubergiana  illustrata	1703	52.374027	4.889688	Horvath, Johannes Baptista
60330624	Manductio ad logicam	1703	49.984188	8.279096	Pourchot, Edmond
60330627	Clypeus philosophiae thomisticae	1703	44.840439	-0.580500	Höfler, Alois
60330628	Florilegium argumentorum	1703	45.581381	9.941362	d'Argens, Jean Baptiste
60330629	Cursus philosophicus	1703	45.581381	9.941362	Jacquier, Franciscus
60330631	Distinctiones et axiomata philosophica	1703	45.581381	9.941362	Genuensis, Antonius
60330630	Dialectica et Analytica	1703	52.524368	13.410530	Mercier, Désiré Joseph
60330634	Opera philosophica	1703	52.524368	13.410530	Clarke, Richard Frederick
60330632	Logica vetus et nova	1703	50.115520	8.684167	Valla, Josephus
60330633	Introductio in dialecticam Cabbaleorum ..	1703	52.265939	10.526726	Fitzgerald, F. Scott
60330623	Elementa philosophiae instrumentalis	1703	51.500000	12.000000	Galluppi, Pasquale
60330635	Introductio ad philosophiam aulicam	1703	51.500000	12.000000	Fitzgerald, F. Scott
60330647	Demonstratio de certitudine sensuum	1704	51.339620	12.371292	Krug, Wilhelm Traugott
60330651	Disputatio philosophica de eo, quod omnes ideae oriantur a  sensione	1704	51.339620	12.371292	Krug, Wilhelm Traugott
60330652	Disputatio philosophica de novis ratiocinandi adminiculis .. sine syllogismorum  cognitione ..	1704	51.339620	12.371292	Watts, Isaac
60330653	Vademecum sive manuale philosophicum	1704	51.339620	12.371292	Mill, John Stuart
60330655	Doctrina logica	1704	51.339620	12.371292	Bénard, Charles Magloire
60330640	Philosophia vetus et nova	1704	45.438611	12.326667	Sigwart, Christoph
60330639	Opera philosophica	1704	52.374027	4.889688	Whately, Richard
60330645	De logices abusu	1704	52.227905	11.009846	Locke, John
60330654	Compendium philosophiae	1704	52.227905	11.009846	Duncan, William
60330636	Artis logicae compendium	1704	51.752221	-1.255960	Whately, Richard
60330642	Philosophia iuxta inconcussa .. Thomae dogmata	1704	45.581381	9.941362	Bain, Alexander
60330646	Medicina mentis . .	1704	52.524368	13.410530	Bénard, Charles Magloire
60330643	Gründliche Anweisung zur Logica vor Adeliche ..	1704	51.180350	14.434941	Mercier, Désiré Joseph
60330644	Topica in nuce	1704	51.180350	14.434941	Duncan, William
60330648	Cursus philosophicus sive compendium praecipuarum scientiarum  philosophicarum	1704	54.706493	20.510951	González y Díaz Tunón, Zeferino
60330649	Primitiae professionis logico-metaphysicae sive commentarii in libros categoriarum  Aristotelis	1704	54.706493	20.510951	Zigliara, Thomas Maria
60330650	Philosophia peripatetica	1704	49.787778	9.936111	Genuensis, Antonius
60330641	Philosophus in utramque partem	1704	48.853410	2.348800	Heineccius, Johannes Gottlieb
60330637	Logica sice ars cogitandi	1704	51.500000	12.000000	Valla, Josephus
60330638	Elementa philosophiae instrumentalis	1704	51.500000	12.000000	Aristoteles
60330667	Philosophia instrumentalis	1705	51.339620	12.371292	Borelius, Johan Jakob
60330668	Erotemata logica	1705	51.339620	12.371292	Dittes, Friedrich
60330657	The art of criticism	1705	51.508529	-0.125742	Heineccius, Johannes Gottlieb
60330664	Institutionum logicarum epitome	1705	53.185465	5.541229	Bacon, Francis
60330659	Renatus Des Cartes ses bedenkingen van d'eerste wijsbegeerte	1705	52.374027	4.889688	Bain, Alexander
60330663	Cursus philosophicus	1705	45.581381	9.941362	Janet, Paul Alexandre
60330658	Tentamen logicum . .	1705	46.948094	7.447443	Külpe, Oswald
60330661	Summa philosophiae scholasticae et scotisticae	1705	45.415194	11.881808	Feder, Johann Georg Heinrich
60330662	Lapis offensionis .. Joh. Duns Scoti	1705	48.366667	10.883333	Clarke, Richard Frederick
60330656	La manière de bien penser	1705	48.853410	2.348800	Rumpel, Theodor
60330660	Philosophia universa	1705	48.853410	2.348800	Galluppi, Pasquale
60330665	Einleitung zu der Vernunft-Lehre	1705	51.500000	12.000000	Horvath, Johannes Baptista
60330666	Ausübung der Vernunft-Lehre	1705	51.500000	12.000000	Joly, Henri
60330678	Nucleus logicae	1706	51.339620	12.371292	Ubaghs, Gerardus Casimir
60330672	An Essay concerning humane understanding	1706	51.508529	-0.125742	Herbart, Johann Friedrich
60330676	Philosophia vera, theologiae et medicinae ministra	1706	45.581381	9.941362	Zigliara, Thomas Maria
60330669	Philosophia thomistica Salisburgensis ..	1706	48.366667	10.883333	d'Argens, Jean Baptiste
60330675	Synopsis logicae	1706	48.366667	10.883333	Watts, Isaac
60330671	Dialectica nova . .	1706	52.272642	8.049799	Baldinotti, Caesar
60330674	Ars Lulliana .. revisa ..	1706	50.978695	11.032831	Reid, Thomas
60330677	Compendium logisticae ..	1706	50.928782	11.589901	Herbart, Johann Friedrich
60330670	Elementa philosophiae instrumentalis	1706	51.500000	12.000000	Bain, Alexander
60330673	De logica non otiosa	1706	51.500000	12.000000	Liard, Louis
60330684	Erotemata logica	1707	51.339620	12.371292	Mill, John Stuart
60330685	Disquisitiones in universam philosophiam aristotelico-thomisticam	1707	47.799406	13.043990	Janet, Paul Alexandre
60330681	De mathesi sacra non sacra seu abusu mathematum in sacris . .	1707	51.812222	12.805278	Minto, William
60330682	Logica positiva	1707	52.227905	11.009846	Bolzano, Bernard
60330679	Manuductio ad logicam	1707	49.984188	8.279096	Schulze, Gottlob Ernst
60330680	Dissertatio de modo disputandi megarico	1707	50.928782	11.589901	Trendelenburg, Friedrich Adolf
60330686	Principia philosophiae antiperipateticae	1707	49.015000	12.095556	Sigwart, Christoph
60330683	De logica non otiosa	1707	51.500000	12.000000	Russell, Bertrand
60330696	Theses de principiis cognitionis humanae	1708	51.339620	12.371292	Clarke, Richard Frederick
60330695	Philosophiae ad mentem Scoti cursus integer	1708	45.438611	12.326667	Locke, John
60330691	Examen succinctum artis recte cogitandi Antonii le  Grand . .	1708	51.812222	12.805278	Whewell, William
60330689	Rudimenta logicae primae	1708	54.088698	12.140493	Clarke, Richard Frederick
60330687	La logique ou l'art de penser	1708	52.374027	4.889688	Fitzgerald, F. Scott
60330692	Florilegium argumentorum	1708	45.581381	9.941362	Lotze, Hermann
60330694	Medicina mentis	1708	52.524368	13.410530	Fowler, Thomas
60330697	De eruditione triplici solida .. praemittitur vera methodus inveniendi  verum	1708	50.115520	8.684167	Clarke, Richard Frederick
60330688	Institutiones logicae	1708	50.948235	10.701928	Rumpel, Theodor
60330693	Philosophia tripartita in logicam, physicam et metaphysicam	1708	49.898726	10.900669	Buddeus, Johann Franz
60330699	Logicae doctrinae compendium . . in publicum usum scholae Tigurinae	1708	47.366667	8.550000	Hegel, Georg Wilhelm Friedrich
60330700	Compendii logici compendiolum brevius ..	1708	47.366667	8.550000	Volkmer, Franz
60330690	Philosophus in utramque partem	1708	48.853410	2.348800	Locke, John
60330698	Fundamenta philosophiae rationalis	1708	51.500000	12.000000	Nielsen, Rasmus
60330710	De intellectu humano	1709	51.339620	12.371292	Spinoza, Benedictus de
60330708	An abstract of the Essay of Human Understanding	1709	51.508529	-0.125742	Lotze, Hermann
